Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
9to10,0.7058800000000001,0.0,0.0,0.04411999999999994,-0.05881999999999998,0.0,0.01633999999999991,-0.021670000000000078,0.0,0.04411999999999994,0.030959999999999877,0.0,0.008409999999999918,0.0633499999999999,0.0,0.04411999999999994,0.11229999999999996
10to11,0.7058800000000001,0.0,-0.03921000000000008,-0.03921000000000008,-0.013570000000000082,0.0,0.0,0.09411999999999998,0.0,-0.03921000000000008,-0.05881999999999998,0.0,0.0,0.01633999999999991,0.0,0.0,-0.05588000000000004
11to12,0.53333,0.07537000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12to13,0.53333,0.15088000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13to14,0.63636,0.0,0.01580999999999999,0.0,0.0,0.0,0.0,0.01580999999999999,0.0,0.0,0.01580999999999999,0.0,-0.017310000000000048,0.0,0.0,0.0,-0.03636000000000006
14to15,0.66667,0.0,0.03921000000000008,-0.035089999999999955,-0.09523999999999999,0.0,0.0,0.03921000000000008,0.0,0.0,0.06666000000000005,0.0,0.01754,0.01754,0.0,0.06666000000000005,-0.019609999999999905
15to16,0.63158,0.0,0.0,-0.052630000000000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01548000000000005,0.0,0.01548000000000005,0.0
16to17,0.5,0.0,-0.026319999999999955,-0.026319999999999955,0.0625,0.0,0.0,0.02632000000000001,0.0,0.0,0.0,0.0,0.029410000000000047,0.02632000000000001,0.0,0.0625,-0.04999999999999999
17to18,0.5,0.03846000000000005,0.0,0.09999999999999998,0.03846000000000005,0.03846000000000005,0.03846000000000005,0.07143,0.03846000000000005,0.0,0.03846000000000005,0.03846000000000005,0.03332999999999997,0.0,0.03846000000000005,-0.03846000000000005,0.07143
Average Difference, ,0.029,-0.001,-0.001,-0.007,0.004,0.006,0.025,0.004,0.001,0.01,0.004,0.008,0.015,0.004,0.017,0.002
